ds,late_vpa,late_my_vpa
2023-05-14 20:20:00,70.03,73.27
2023-05-14 20:21:00,70.03,70.03
2023-05-14 20:22:00,69.27,70.03
2023-05-14 20:23:00,70.03,68.27
2023-05-14 20:24:00,73.03,70.27
2023-05-14 20:25:00,75.27,69.27
2023-05-14 20:26:00,73.03,67.27
2023-05-14 20:27:00,73.03,63.03
2023-05-14 20:28:00,73.03,63.27
2023-05-14 20:29:00,75.27,63.03
2023-05-14 20:30:00,957.43,297.92
2023-05-14 20:31:00,1327.91,297.92
2023-05-14 20:32:00,1120.76,303.03
2023-05-14 20:33:00,589.90,303.03
2023-05-14 20:34:00,405.65,297.92
2023-05-14 20:35:00,363.38,297.92
2023-05-14 20:36:00,341.45,303.03
2023-05-14 20:37:00,327.91,297.92
2023-05-14 20:38:00,318.78,303.03
2023-05-14 20:39:00,308.63,303.03
2023-05-14 20:40:00,303.33,297.92
2023-05-14 20:41:00,297.92,308.84
2023-05-14 20:42:00,303.33,297.92
2023-05-14 20:43:00,303.33,303.33
2023-05-14 20:44:00,297.92,303.33
2023-05-14 20:45:00,308.84,297.92
2023-05-14 20:46:00,303.33,297.92
2023-05-14 20:47:00,297.92,303.33
2023-05-14 20:48:00,303.33,303.33
2023-05-14 20:49:00,308.84,303.33
2023-05-14 20:50:00,303.33,308.84